STRM,SUBJECT,CATALOG_NBR,LOCATION,ENRL_CAP,SSR_COMPONENT,ENRL_TOT
1021,CMPT,XX1,KAM,20,SEC,11
1021,MATH,100,BURNABY,0,OPL,0
1021,PHYS,100,BURNABY,0,OPL,0
1021,PHYS,100,BURNABY,18,TUT,0
1021,MATH,100,BURNABY,5,OPL,1
1021,PHYS,100,BURNABY,18,TUT,16
1021,PHYS,100,BURNABY,18,TUT,17
1021,PHYS,100,BURNABY,18,TUT,18
1021,PHYS,100,BURNABY,18,TUT,19
1021,CMPT,100,BURNABY,50,LEC,34
1021,MATH,100,BURNABY,150,LEC,106
1021,PHYS,100,BURNABY,288,LEC,143
1021,PHYS,101,BURNABY,0,OPL,0
1021,STAT,101,BURNABY,0,OPL,0
1021,STAT,101,BURNABY,5,OPL,1
1021,STAT,101,BURNABY,70,OPL,49
1021,MACM,101,BURNABY,160,LEC,95
1021,CMPT,101,BURNABY,140,LEC,98
1021,MACM,101,BURNABY,160,LEC,118
1021,CMPT,101,BURNABY,140,LEC,137
1021,PHYS,101,BURNABY,200,LEC,151
1021,PHYS,101,BURNABY,200,LEC,194
1021,STAT,101,BURNABY,275,LEC,237
1021,ENSC,102,BURNABY,0,LEC,0
1021,PHYS,102,BURNABY,0,OPL,0
1021,PHYS,102,BURNABY,200,LEC,54
1021,CMPT,102,BURNABY,100,LEC,62
1021,ENSC,102,BURNABY,85,LEC,78
1021,PHYS,102,BURNABY,200,LEC,197
1021,CMPT,104,BURNABY,10,LEC,2
1021,CMPT,104,BURNABY,10,LEC,4
1021,MATH,110,BURNABY,0,LEC,0
1021,MATH,110,BURNABY,0,OPL,0
1021,CMPT,110,BURNABY,100,LEC,95
1021,MATH,113,BURNABY,0,TUT,0
1021,MATH,113,BURNABY,30,LEC,0
1021,PHYS,120,BURNABY,0,OPL,0
1021,PHYS,120,BURNABY,120,LEC,72
1021,PHYS,121,BURNABY,0,LEC,0
1021,PHYS,121,BURNABY,0,OPL,0
